,e_type,e_con,e_prod,GDP,Population,ei_capita,ei_gdp,pop_growth,pop_density,Manuf_GDP,Agric_GDP,Deforestation,emission_per_cap,CO2_emission
1996,4,0.0,0.0,3.66,260.93,71.94,5.13,0.373,606.821,0.3811158,0.126087,62.9993,0.0,0.0
1997,5,0.0,0.0,3.66,260.93,71.94,5.13,0.373,606.821,0.3811158,0.126087,62.9993,0.0,0.0
2004,0,0.0,0.0,0.9,187.55,26.07,5.46,2.201,8.222,0.102573,0.155286,16000.3026,0.0010663822980538,0.2
2005,1,0.0,0.0,0.9,187.55,26.07,5.46,2.201,8.222,0.102573,0.155286,16000.3026,0.0,0.0
2006,2,0.0,0.0,0.9,187.55,26.07,5.46,2.201,8.222,0.102573,0.155286,16000.3026,0.0,0.0
2007,3,0.0,0.0,0.9,187.55,26.07,5.46,2.201,8.222,0.102573,0.155286,16000.3026,0.0010663822980538,0.2
2008,4,0.0,0.0,0.9,187.55,26.07,5.46,2.201,8.222,0.102573,0.155286,16000.3026,0.0,0.0
2009,5,0.0,0.0,0.9,187.55,26.07,5.46,2.201,8.222,0.102573,0.155286,16000.3026,0.0,0.0
2010,0,0.01,0.01,10.61,4978.49,1.75,0.82,3.235,44.151,0.7825936,3.6768955,48351.488000000005,0.0001004320587165,0.5
2011,1,0.0,0.0,10.61,4978.49,1.75,0.82,3.235,44.151,0.7825936,3.6768955,48351.488000000005,0.0,0.0
2012,2,0.0,0.0,10.61,4978.49,1.75,0.82,3.235,44.151,0.7825936,3.6768955,48351.488000000005,0.0,0.0
2013,3,0.01,0.01,10.61,4978.49,1.75,0.82,3.235,44.151,0.7825936,3.6768955,48351.488000000005,0.0001004320587165,0.5
2014,4,0.0,0.0,10.61,4978.49,1.75,0.82,3.235,44.151,0.7825936,3.6768955,48351.488000000005,0.0,0.0
2015,5,0.0,0.0,10.61,4978.49,1.75,0.82,3.235,44.151,0.7825936,3.6768955,48351.488000000005,0.0,0.0
2022,0,0.01,0.02,1.37,530.8,23.98,9.27,1.639,11.361,0.1099973,0.4330707,25067.356730000003,0.0001130369253956,0.06
2023,1,0.0,0.0,1.37,530.8,23.98,9.27,1.639,11.361,0.1099973,0.4330707,25067.356730000003,5.651846269781462e-05,0.03
2024,2,0.0,0.0,1.37,530.8,23.98,9.27,1.639,11.361,0.1099973,0.4330707,25067.356730000003,0.0,0.0
2025,3,0.0,0.0,1.37,530.8,23.98,9.27,1.639,11.361,0.1099973,0.4330707,25067.356730000003,5.651846269781462e-05,0.03
2026,4,0.0,0.0,1.37,530.8,23.98,9.27,1.639,11.361,0.1099973,0.4330707,25067.356730000003,0.0,0.0
2027,5,0.01,0.02,1.37,530.8,23.98,9.27,1.639,11.361,0.1099973,0.4330707,25067.356730000003,0.0,0.0
2028,0,0.09,0.17,28.14,6864.84,13.44,3.28,2.116,6.337,4.7733882,4.3206156,578048.88,0.0006671677708438,4.58
2029,1,0.0,0.0,28.14,6864.84,13.44,3.28,2.116,6.337,4.7733882,4.3206156,578048.88,0.0,0.0
2030,2,0.03,0.11,28.14,6864.84,13.44,3.28,2.116,6.337,4.7733882,4.3206156,578048.88,0.0002010243501669,1.38
2031,3,0.05,0.05,28.14,6864.84,13.44,3.28,2.116,6.337,4.7733882,4.3206156,578048.88,0.0004661434206769,3.2
2032,4,0.0,0.0,28.14,6864.84,13.44,3.28,2.116,6.337,4.7733882,4.3206156,578048.88,0.0,0.0
2033,5,0.01,0.01,28.14,6864.84,13.44,3.28,2.116,6.337,4.7733882,4.3206156,578048.88,0.0,0.0
2034,0,0.03,0.02,11.03,1286.76,23.74,2.77,3.34,2.27,0.5262413,0.4992177999999999,188035.3467,0.0017718921943485,2.28
